,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
308,,96.0,Middle School,308.0,05:55,3,14,0,24,26, 5:18,,SC,8.0,,10-0465,Middle School,9,0,25,24, 5:55,,17,0,21,46, 5:22,
309,,96.0,Middle School,309.0,05:58,3,10,0,28,18, 5:13,,AL,14.0,,10-0725,Middle School,8,0,26,18, 4:18,,24,0,14,60, 5:20,
310,,95.0,Middle School,310.0,05:13,3,9,1,29,20, 4:26,,CAN,4.0,,10-0136,Middle School,13,1,21,31, 2:15,,16,0,22,44, 5:13,
311,,94.0,Middle School,311.0,05:29,3,16,0,22,37, 5:24,,CA,67.0,,10-1278,Middle School,12,0,22,32, 5:10,,13,0,25,25, 5:26,
312,,94.0,Middle School,312.0,05:49,3,9,0,29,17, 5:38,,TX,32.0,,10-2749,Middle School,15,0,19,39, 5:49,,14,0,24,38, 5:44,
313,,93.0,Middle School,313.0,05:54,3,13,1,25,24, 5:45,,TX,33.0,,10-2646,Middle School,6,1,28,7, 5:44,,22,0,16,62, 5:53,
314,,92.0,Middle School,314.0,04:19,3,14,1,24,30, 4:18,,NJ,5.0,,10-4270,Middle School,7,0,27,20, 4:16,,17,0,21,42, 4:17,
315,,92.0,Middle School,315.0,05:34,3,17,0,21,34, 5:33,,TX,34.0,,10-3901,Middle School,10,0,24,26, 5:33,,14,0,24,32, 5:34,
316,,91.0,Middle School,316.0,05:19,3,9,0,29,28, 5:10,,CA,68.0,,10-2434,Middle School,7,0,27,15, 1:53,,18,0,20,48, 4:22,
317,,91.0,Middle School,317.0,04:44,3,11,0,27,35, 4:43,,TX,35.0,,10-5213,Middle School,8,0,26,24, 4:03,,14,1,24,32, 3:54,
318,T,91.0,Middle School,318.0,06:01,3,13,0,25,32, 6:01,T,PA,4.0,,10-1013,Middle School,4,0,30,9, 1:23,,18,0,20,50, 3:59,
319,,90.0,Middle School,319.0,05:48,3,8,1,30,11, 5:48,,CO,30.0,,10-1328,Middle School,18,0,16,49, 5:34,,13,0,25,30, 5:34,
320,,89.0,Middle School,320.0,04:54,3,9,0,29,29, 4:53,,CT,2.0,,10-4757,Middle School,8,0,26,24, 4:36,,12,0,26,36, 4:47,
321,,89.0,Middle School,321.0,05:44,3,7,0,31,19, 5:01,,CA,69.0,,10-1253,Middle School,14,0,20,46, 5:44,,11,0,27,24, 5:35,
322,,89.0,Middle School,322.0,05:51,3,3,0,35,5, 5:37,,MO,11.0,,10-0491,Middle School,11,0,23,36, 5:41,,16,0,22,48, 5:50,
323,,88.0,Middle School,323.0,05:56,3,13,0,25,27, 5:54,,FL,7.0,,10-0485,Middle School,14,0,20,39, 5:55,,12,1,26,22, 5:55,
324,T,88.0,Middle School,324.0,30:32,3,10,1,28,16,10:08,T,CA,70.0,,10-5726,Middle School,15,0,19,43,28:29,T,12,1,26,29,28:58,T
325,,87.0,Middle School,325.0,03:53,3,11,0,27,27, 3:50,,CA,71.0,,10-2737,Middle School,13,0,21,37, 3:53,,12,0,26,23, 3:53,
326,,87.0,Middle School,326.0,05:47,3,8,0,30,16, 5:15,,AL,15.0,,10-2377,Middle School,16,0,18,45, 5:41,,12,0,26,26, 5:46,
327,,87.0,Middle School,327.0,05:31,3,18,0,20,48, 5:31,,AZ,6.0,,10-0897,Middle School,3,0,31,9, 5:23,,13,0,25,30, 5:31,
328,T,87.0,Middle School,328.0,06:02,3,16,0,22,33, 5:57,,NC,4.0,,10-2988,Middle School,9,1,25,20, 5:58,,17,0,21,34, 6:02,T
329,,87.0,Middle School,329.0,05:54,3,14,0,24,28, 5:51,,TX,36.0,,10-2792,Middle School,8,0,26,24, 5:54,,15,0,23,35, 5:51,
330,,87.0,Middle School,330.0,05:41,3,15,0,23,28, 5:40,,AZ,7.0,,10-1948,Middle School,7,0,27,20, 5:37,,14,0,24,39, 5:39,
331,,87.0,Middle School,331.0,05:45,3,11,1,27,28, 5:44,,TX,37.0,,10-3737,Middle School,13,0,21,35, 5:45,,13,1,25,24, 5:44,
332,,86.0,Middle School,332.0,03:59,3,13,0,25,37, 3:58,,VA,30.0,,10-2775,Middle School,11,0,23,31, 3:58,,11,0,27,18, 3:58,
333,,86.0,Middle School,333.0,04:50,3,13,0,25,39, 4:50,,PA,5.0,,10-4555,Middle School,2,0,32,4, 1:06,,18,0,20,43, 3:17,
334,,86.0,Middle School,334.0,05:13,3,11,0,27,20, 5:06,,TX,38.0,,10-1890,Middle School,11,0,23,28, 5:12,,15,1,23,38, 5:09,
335,,86.0,Middle School,335.0,05:54,3,14,0,24,38, 1:16,,CT,3.0,,10-1369,Middle School,8,0,26,21, 4:36,,14,0,24,27, 3:30,
336,,85.0,Middle School,336.0,05:26,3,13,0,25,33, 4:46,,MI,4.0,,10-5681,Middle School,10,0,24,23, 5:26,,14,0,24,29, 4:28,
337,,85.0,Middle School,337.0,05:40,3,10,0,28,31, 4:56,,CAN,5.0,,10-0910,Middle School,8,0,26,22, 5:40,,15,0,23,32, 5:26,
338,,85.0,Middle School,338.0,05:59,3,13,0,25,46, 5:38,,AR,3.0,,10-2433,Middle School,1,0,33,2, 4:10,,12,0,26,37, 3:18,
339,,85.0,Middle School,339.0,05:38,3,11,0,27,31, 5:36,,CA,72.0,,10-5310,Middle School,15,0,19,43, 5:17,,6,0,32,11, 5:35,
340,,84.0,Middle School,340.0,02:54,3,12,0,26,31, 1:07,,TX,39.0,,10-4166,Middle School,2,0,32,10, 0:58,,15,0,23,43, 0:45,
341,,84.0,Middle School,341.0,04:29,3,10,0,28,20, 4:27,,FL,8.0,,10-4500,Middle School,12,0,22,30, 4:28,,14,0,24,34, 4:28,
342,,84.0,Middle School,342.0,05:40,3,11,0,27,24, 5:40,,CA,73.0,,10-2881,Middle School,13,0,21,32, 4:43,,13,0,25,28, 5:40,
343,,84.0,Middle School,343.0,05:58,3,10,0,28,34, 5:58,,CA,74.0,,10-0389,Middle School,2,0,32,9, 2:28,,15,0,23,41, 5:58,
344,,84.0,Middle School,344.0,05:54,3,17,0,21,37, 5:53,,RI,9.0,,10-0139,Middle School,7,0,27,17, 5:54,,14,0,24,30, 5:54,
345,,82.0,Middle School,345.0,05:34,3,9,0,29,21, 5:34,,TX,40.0,MySchool-1,10-4783,Middle School,16,0,18,40, 5:29,,12,0,26,21, 5:22,
346,,82.0,Middle School,346.0,05:39,3,11,1,27,14, 5:39,,TX,41.0,,10-3261,Middle School,10,0,24,31, 5:34,,14,0,24,37, 5:37,
347,,82.0,Middle School,347.0,05:54,3,15,0,23,42, 5:54,,ID,1.0,,10-2027,Middle School,10,0,24,22, 4:52,,8,0,30,18, 2:35,
348,,81.0,Middle School,348.0,05:18,3,7,0,31,24, 5:16,,GA,18.0,,10-4759,Middle School,10,0,24,27, 5:17,,14,0,24,30, 5:17,
349,,81.0,Middle School,349.0,05:45,3,17,0,21,45, 5:41,,TX,42.0,,10-3971,Middle School,6,0,28,17, 5:45,,8,0,30,19, 4:51,
350,,81.0,Middle School,350.0,05:49,3,13,0,25,27, 5:48,,MD,6.0,,10-1850,Middle School,8,0,26,22, 5:39,,15,0,23,32, 5:49,
351,,80.0,Middle School,351.0,03:07,3,9,0,29,16, 3:07,,KS,5.0,,10-2057,Middle School,11,0,23,32, 3:06,,11,0,27,32, 2:59,
352,T,80.0,Middle School,352.0,06:59,3,9,0,29,30, 3:26,,CA,75.0,,10-3840,Middle School,10,0,24,27, 2:55,,12,0,26,23, 6:59,T
