,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
77,77,,0,12.2,155,Middle School,77,05:32:55,2,,13,0,8,60, 5:28,LA,3,,13-0670,Middle School,167.2,,19,0,1,95, 5:32
78,78,,0,0,167,Middle School,78,05:46:56,2,,16,0,5,81, 5:46,GA,15,LMS,13-4481,Middle School,167,,17,0,3,86, 5:46
79,79,,0,6,160,Middle School,79,05:30:03,2,,16,0,5,74, 3:30,CA,25,,13-1996,Middle School,166,,17,0,3,86, 5:30
80,80,,0,3.8,162,Middle School,80,05:27:55,2,,13,0,8,62, 5:27,NJ,2,,13-0988,Middle School,165.8,,20,0,0,100, 2:53
81,81,T,0,3.6,161,Middle School,81,06:00:57,2,,16,0,5,80, 3:20,VA,4,,13-3307,Middle School,164.6,,16,0,4,81, 2:37
82,82,,0,11.3,153,Middle School,82,04:48:57,2,,14,0,7,73, 3:44,CA,26,,13-2419,Middle School,164.3,,16,0,4,80, 4:42
83,83,,0,0,164,Middle School,83,05:50:56,2,,17,0,4,78, 5:50,IN,1,,13-2335,Middle School,164,,17,0,3,86, 5:46
84,84,,0,13.8,149,Middle School,84,05:11:56,2,,15,0,6,76, 5:11,LA,4,,13-0740,Middle School,162.8,,14,0,6,73, 5:04
85,85,,0,2.6,160,Middle School,85,04:05:56,2,,16,0,5,74, 4:04,OR,2,,13-2146,Middle School,162.6,,17,0,3,86, 1:48
86,86,,0,14.1,148,Middle School,86,04:45:57,2,,12,0,9,56, 4:45,CA,27,,13-0578,Middle School,162.1,,18,0,2,92, 4:20
87,87,,0,0,162,Middle School,87,05:33:56,2,,17,0,4,72, 5:19,CA,28,,13-1946,Middle School,162,,18,0,2,90, 5:14
88,88,,0,0,162,Middle School,88,05:40:57,2,,17,0,4,71, 5:37,FL,4,,13-4407,Middle School,162,,18,0,2,91, 5:33
89,89,,0,5.9,155,Middle School,89,05:44:56,2,,13,0,8,60, 5:34,CO,3,,13-3311,Middle School,160.9,,19,0,1,95, 5:36
90,90,,0,3.8,157,Middle School,90,05:38:56,2,,15,0,6,75, 3:03,HI,2,,13-0208,Middle School,160.8,,16,0,4,82, 5:38
91,91,,0,4.2,156,Middle School,91,05:49:55,2,,16,0,5,79, 5:49,CO,4,,13-3898,Middle School,160.2,,15,0,5,77, 5:35
92,92,,0,3.6,156,Middle School,92,04:08:59,2,,17,0,4,78, 4:07,CA,29,,13-4395,Middle School,159.6,,15,0,5,78, 4:07
