,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxii_sf_gsms-**,Server2016_cpxii_sf_gsms-Found,Server2016_cpxii_sf_gsms-Penalties,Server2016_cpxii_sf_gsms-Remaining,Server2016_cpxii_sf_gsms-Score,Server2016_cpxii_sf_gsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu16_cpxii_sf_psms-**,Ubuntu16_cpxii_sf_psms-Found,Ubuntu16_cpxii_sf_psms-Penalties,Ubuntu16_cpxii_sf_psms-Remaining,Ubuntu16_cpxii_sf_psms-Score,Ubuntu16_cpxii_sf_psms-Time,Win10_cpxii_sf_gsms-**,Win10_cpxii_sf_gsms-Found,Win10_cpxii_sf_gsms-Penalties,Win10_cpxii_sf_gsms-Remaining,Win10_cpxii_sf_gsms-Score,Win10_cpxii_sf_gsms-Time
399,399,,0.00,6.25,17.0,Middle School,399.0,05:36:00,3,,2,0,28,4, 5:35,CAN,7.0,,12-0741,Middle School,23.25,,4,0,32,6, 5:36,,6,0,30,7, 5:34
400,400,,0.00,7.89,15.0,Middle School,400.0,04:46:56,3,,2,0,28,4, 1:17,CA,96.0,,12-2580,Middle School,22.89,,3,0,33,5, 4:16,,4,0,32,6, 4:46
401,401,,0.00,6.50,16.0,Middle School,401.0,05:20:56,3,,4,0,26,14, 5:20,SC,9.0,,12-0115,Middle School,22.50,,0,0,36,0, 3:07,,4,2,32,2, 5:12
402,402,,0.00,8.14,13.0,Middle School,402.0,04:40:58,3,,1,0,29,2, 4:16,AL,24.0,,12-0733,Middle School,21.14,,3,0,33,5, 4:14,,5,0,31,6, 4:40
403,403,,0.00,5.00,14.0,Middle School,403.0,04:29:56,3,,3,0,27,6, 3:24,TX,42.0,,12-7265,Middle School,19.00,,2,0,34,2, 3:51,,5,0,31,6, 4:11
404,404,,0.00,0.00,19.0,Middle School,404.0,05:29:00,3,,2,0,28,4, 5:19,CAN,8.0,,12-0742,Middle School,19.00,,3,0,33,4, 5:29,,8,0,28,11, 5:18
405,405,,0.00,0.00,17.0,Middle School,405.0,05:25:56,3,,1,0,29,3, 5:18,TX,43.0,,12-3932,Middle School,17.00,,0,0,36,0, 4:37,,6,0,30,14, 5:25
406,406,,0.00,0.00,16.0,Middle School,406.0,05:54:56,3,,5,0,25,10, 5:54,TX,44.0,,12-5405,Middle School,16.00,,0,0,36,0, 5:53,,5,0,31,6, 5:53
407,407,,0.00,6.50,8.0,Middle School,407.0,05:44:56,2,,3,0,27,7, 5:42,SC,10.0,,12-2190,Middle School,14.50,,,,,,,,1,0,35,1, 5:39
408,408,,0.00,0.00,14.0,Middle School,408.0,04:59:56,3,,2,1,28,0, 4:33,TN,6.0,,12-2510,Middle School,14.00,,3,0,33,5, 3:13,,6,0,30,9, 4:57
409,409,,0.00,0.00,12.0,Middle School,409.0,04:30:57,3,,4,0,26,9, 4:17,HI,15.0,,12-3847,Middle School,12.00,,1,0,35,8, 2:49,,4,2,32,-5, 3:04
410,410,T,-3.00,0.00,15.0,Middle School,410.0,06:00:56,3,,0,0,30,0, 1:28,AL,25.0,,12-5965,Middle School,12.00,,11,1,25,15, 5:49,T,0,0,36,0, 6:00
411,411,,0.00,0.00,9.0,Middle School,411.0,04:07:01,2,,2,0,28,4, 2:06,HI,16.0,,12-0823,Middle School,9.00,,,,,,,,4,0,32,5, 4:07
412,412,,0.00,0.00,8.0,Middle School,412.0,05:40:57,3,,2,0,28,5, 5:38,CA,97.0,,12-4646,Middle School,8.00,,0,0,36,0, 5:39,,3,0,33,3, 5:39
413,413,,0.00,0.00,5.0,Middle School,413.0,03:03:55,3,,1,1,29,-3, 2:35,NJ,9.0,,12-5020,Middle School,5.00,,3,0,33,4, 3:02,,3,0,33,4, 2:05
